category,parent_category

automation,rexroth
motors_gearboxes,automation
synchronous_servo_motors,motors_gearboxes
ms2n_performance,synchronous_servo_motors
product_list,ms2n_performance



linear_motion_technology,rexroth
linear_guides,linear_motion_technology
linear_axes,linear_motion_technology
screw_drives,linear_motion_technology




ball_rail_systems_high_precision,linear_guides
ball_rail_systems_compact_line,linear_guides
miniature_ball_rail_systems,linear_guides
roller_rail_systems,linear_guides
cam_roller_guides,linear_guides
linear_bushings_and_shafts,linear_guides
clamping_and_braking_units,linear_guides






small_handling_linear_axes,linear_axes
product_list,small_handling_linear_axes


ball_screw_assemblies,screw_drives
planetary_screw_assemblies,screw_drives
drive_units,screw_drives


basa_ball_screw_drives,ball_screw_assemblies
ball_screw_assembly_nuts,ball_screw_assemblies
precision_screws,ball_screw_assemblies
accessories_for_ball_screw_assemblies,ball_screw_assemblies



empty,basa_ball_screw_drives
product_list,ball_screw_assembly_nuts
product_list,precision_screws
product_list,accessories_for_ball_screw_assemblies






high_precision_ball_runner_blocks_bshp,ball_rail_systems_high_precision
high_precision_ball_guide_rails_bshp,ball_rail_systems_high_precision
accessories_for_ball_rail_systems,ball_rail_systems_high_precision
ball_runner_blocks_compact_line,ball_rail_systems_compact_line
ball_guide_rails_compact_line,ball_rail_systems_compact_line
accessories_for_ball_rail_systems_compact_line,ball_rail_systems_compact_line
miniature_ball_runner_block,miniature_ball_rail_systems
miniature_ball_guide_rails,miniature_ball_rail_systems
accessories_for_miniature_ball_rail_systems,miniature_ball_rail_systems
roller_runner_block,roller_rail_systems
roller_guide_rails,roller_rail_systems
accessories_for_roller_rail_systems,roller_rail_systems
cam_roller_runner_blocks,cam_roller_guides
cam_roller_guide_rails,cam_roller_guides
bearing_with_adjusting_screws,cam_roller_guides
accessories_for_cam_roller_guides,cam_roller_guides
linear_bushings,linear_bushings_and_shafts
linear_sets_with_linear_bushings,linear_bushings_and_shafts
precision_steel_shafts,linear_bushings_and_shafts
precision_steel_shafts_with_shaft_support_rails,linear_bushings_and_shafts
shaft_support_blocks,linear_bushings_and_shafts
accessories_for_linear_bushings,linear_bushings_and_shafts
product_list,clamping_and_braking_units
